ID;Kname;Kstrasse;KPlz;Kort;Ktyp;Kgruppe;Kart;Latitude;Longitude
10252526;Rewe Regie 873;WAHMSTRASSE;23552;LUEBECK;KLEINE VM 800 - 1499 QM;LEH;Outlet;53.8652657;10.6876709
10251481;Rewe Regie 987;LIPPER TOR;32839;STEINHEIM;KLEINE VM 800 - 1499 QM;LEH;Outlet;51.8782413;9.0885932
10166820;Spar Luehring;HAUPTSTR. 108;26842;OSTRHAUDERFEHN;L E H  400 - 799 QM (SM);LEH;Outlet;53.1403134;7.6193506
10251294;Rewe Rohe oHG;STEYLER STR. 4;51067;KOELN;KLEINE VM 800 - 1499 QM;LEH;Outlet;50.9666719;7.0342176
10105992;Rewe Regie 153;BAHNHOFSTR 2;66706;PERL;KLEINE VM 800 - 1499 QM;LEH;Outlet;49.47235;6.3839298
10252410;Rewe Regie 254;FRANKENALLEE;65779;KELKHEIM;KLEINE VM 800 - 1499 QM;LEH;Outlet;50.134579;8.4599059
10252527;Kaufland 7710-W3;FUERTHER STR. 187;90429;NUERNBERG;GROSSE VM 1500 - 4999 QM;LEH;Outlet;49.4567608;11.0367477
10155674;Klaas & Kock 111;OSTSTR. 5;48301;NOTTULN;KLEINE VM 800 - 1499 QM;LEH;Outlet;51.9269372;7.365842
10252805;Rewe Markt (Extra 1073);BAHNHOFSTR. 32-34;27711;OSTERHOLZ-SCHARMBECK;KLEINE VM 800 - 1499 QM;LEH;Outlet;53.224498;8.797613
10248466;WEZ 13;MEISSENER STR. 21;32457;PORTA WESTFALICA;KLEINE VM 800 - 1499 QM;LEH;Outlet;52.2597696;8.9365839
10251156;Rewe Klaus oHG;AM SIEDLERPLATZ 2;33014;BAD DRIBURG;KLEINE VM 800 - 1499 QM;LEH;Outlet;51.7206586;9.014639
10252405;Rewe Zipfel oHG;EISENBERGER STR. 87;07629;HERMSDORF;GROSSE VM 1500 - 4999 QM;LEH;Outlet;50.9034203;11.8550234
10166344;Rewe Regie 041;LUCKAUER STRASSE;15936;DAHME;KLEINE VM 800 - 1499 QM;LEH;Outlet;51.8678655;13.4329948
