ID;Pstrasse;PPlz;Port;Latitude;Longitude
DE12;Max-Planck-Straße 28;27283;Verden (Aller);52.91274;9.26763
DE14;Hans-Böckler-Straße 35;32423;Minden;52.30748;8.95424
DE17;An der Kreuzlache 8;65474;Bischofsheim;49.98003;8.37855
